"","year","quarter","impact","recession","total","federal","state_local","consumption","projection"
"1","1999","Q4",-0.444492354786338,0,-0.0459971625139367,0.257286696530349,0.116549762467994,-0.419833621512279,0
"2","2000","Q1",-0.742543141431693,0,-1.88282934777182,-1.1193836052693,-0.147544636605187,-0.615901105897333,0
"3","2000","Q2",-0.605966478093051,0,-0.301518620360395,0.51348946714254,-0.544500218490501,-0.270507869012434,0
"4","2000","Q3",-0.832016768610317,0,-1.09772194379512,-0.733446802349063,-0.269991743051921,-0.0942833983941325,0
"5","2000","Q4",-0.871603816560779,0,-0.204345354315782,-0.171515978099512,-0.0534956366275822,0.020666260411312,0
"6","2001","Q1",-0.22366453696766,1,0.708927770600649,0.306721525120965,0.16575184846989,0.236454397009795,0
"7","2001","Q2",0.113861373515367,1,1.04858502157172,0.160241555290728,0.512617378782087,0.3757260874989,0
"8","2001","Q3",0.594224555118116,1,0.823730782615879,-0.046078503751182,-0.597268225092636,1.4670775114597,0
"9","2001","Q4",1.13119756820888,1,1.94354669804729,0.121543683541738,0.561881963222303,1.26012105128325,0
"10","2002","Q1",1.5314710009654,0,2.31002150162671,0.673054028518582,0.111540202778581,1.52542727032955,0
"11","2002","Q2",1.75829940218448,0,1.95589862644804,0.346225411110837,-0.257858340491,1.8675315558282,0
"12","2002","Q3",1.91948141962666,0,1.4684588523846,0.0915367431614959,-0.170403357301038,1.54732546652415,0
"13","2002","Q4",1.73684371401593,0,1.21299587560436,0.303386003979427,-0.184021771689377,1.09363164331431,0
"14","2003","Q1",1.34378763498734,0,0.737797185512357,0.135299620211438,-0.52598650533712,1.12848407063804,0
"15","2003","Q2",1.20735459063701,0,1.41016644904674,0.809380757539564,-0.547824255587121,1.14860994709429,0
"16","2003","Q3",0.993518025540736,0,0.613112591999488,-0.191722474938497,-0.1102693835985,0.915104450536485,0
"17","2003","Q4",0.858482823001285,0,0.672855065446555,0.360626857476659,-0.368092950872951,0.680321158842847,0
"18","2004","Q1",0.699482437826906,0,0.101795644814839,0.135130862865493,-0.275410988766412,0.242075770715759,0
"19","2004","Q2",0.323240621585762,0,-0.0948008159178377,-0.00982915419503083,-0.276752521560637,0.19178085983783,0
"20","2004","Q3",0.0598769577053567,0,-0.440342063522134,0.13497323170077,-0.496015246611614,-0.0793000486112891,0
"21","2004","Q4",-0.268695840213839,0,-0.641436126230226,-0.24912808998313,-0.306058902377692,-0.0862491338694039,0
"22","2005","Q1",-0.447473424834473,0,-0.613314693667698,0.137879983563459,-0.246357188765563,-0.504837488465594,0
"23","2005","Q2",-0.683475403188183,0,-1.03880872933268,-0.211167494692339,-0.30991473091151,-0.517726503728832,0
"24","2005","Q3",-0.760206448222625,0,-0.747266243659901,0.0481735119612916,-0.258587669123677,-0.536852086497515,0
"25","2005","Q4",-0.813985944106099,0,-0.856554109764122,-0.162647338215313,-0.226510748565061,-0.467396022983747,0
"26","2006","Q1",-0.68066218607378,0,-0.0800196615384204,0.589598841473465,-0.0549533897362835,-0.614665113275602,0
"27","2006","Q2",-0.699876678582332,0,-1.11566669936689,-0.367139561158267,-0.0780506909834632,-0.670476447225158,0
"28","2006","Q3",-0.713034789538172,0,-0.79989868748326,-0.418195781073363,-0.0964291913205024,-0.285273715089395,0
"29","2006","Q4",-0.511040877747388,0,-0.0485784626009856,0.274775852122948,-0.0288209434621725,-0.294533371261761,0
"30","2007","Q1",-0.642928950226976,0,-0.607571951456772,-0.316824381019047,0.0513607617526748,-0.3421083321904,0
"31","2007","Q2",-0.354035190135505,0,0.0399083409989942,0.32905501063773,-0.00618550932458772,-0.282961160314148,0
"32","2007","Q3",-0.17354121445443,0,-0.0779227847589608,0.112421762000446,-0.138137245781144,-0.0522073009782628,0
"33","2007","Q4",-0.0907129807069745,1,0.282734472388838,0.349857978440046,-0.114225899159091,0.0471023931078827,0
"34","2008","Q1",0.0452303104377451,1,-0.0637987868778941,0.311939477390311,-0.502586924348052,0.126848660079847,0
"35","2008","Q2",0.683958955714183,1,2.59482292210474,0.513313559433853,-0.188737683906591,2.27024704657748,0
"36","2008","Q3",1.05426500090067,1,1.40330139598698,0.259902162314404,0.0362366134985603,1.10716262017402,0
"37","2008","Q4",1.38883781674724,1,1.62102573577514,0.270149261920617,-0.0649251349456121,1.41580160880014,0
"38","2009","Q1",2.2842874265651,1,3.51799965239355,0.286259535357886,0.316149525286227,2.91559059174943,0
"39","2009","Q2",2.34770196012862,1,2.84848105635881,0.655539837965757,0.265645876638618,1.92729534175443,0
"40","2009","Q3",2.67767387745804,0,2.72318906530465,0.198249003199358,-0.239020550765547,2.76396061287084,0
"41","2009","Q4",2.83223865010625,0,2.239284826368,0.414764517280185,-0.516215737286257,2.34073604637407,0
"42","2010","Q1",2.3222509667228,0,1.47804891885974,0.292839534725554,-0.88274004245998,2.06794942659416,0
"43","2010","Q2",1.9052360842902,0,1.1804215266284,0.357033134547013,-0.329440620159849,1.15282901224123,0
"44","2010","Q3",1.26805148914615,0,0.174450684728475,-0.261676979489775,-0.597201678715151,1.0333293429334,0
"45","2010","Q4",0.760797827246019,0,0.210270178767465,-0.16758361107954,-0.644570983368459,1.02242477321546,0
"46","2011","Q1",0.0282370759420496,0,-1.45219408635614,-0.599399428609291,-0.716769709238441,-0.13602494850841,0
"47","2011","Q2",-0.600507203413299,0,-1.334555590793,-0.248057613126606,-0.616893784747015,-0.469604192919376,0
"48","2011","Q3",-1.1894614574907,0,-2.18136633158112,-0.859916996941304,-0.61903412152601,-0.702415213113802,0
"49","2011","Q4",-1.51758814099005,0,-1.10223655522996,-0.00113603177643901,-0.366823831615424,-0.734276691838098,0
"50","2012","Q1",-1.52300137543163,0,-1.47384702412246,-0.130504208025188,-0.533059978864125,-0.810282837233148,0
"51","2012","Q2",-1.51429721487983,0,-1.29973894858579,-0.388524056157148,-0.338442439403494,-0.572772453025145,0
"52","2012","Q3",-1.18746206278079,0,-0.874025723184945,-0.0677423058791934,-0.374765489335492,-0.43151792797026,0
"53","2012","Q4",-1.30725676445195,0,-1.58141536191462,-0.768026967318634,-0.317661835129398,-0.495726559466584,0
"54","2013","Q1",-1.3884921653747,0,-1.79878862781346,-0.842344981652089,-0.171974315215483,-0.784469330945883,0
"55","2013","Q2",-1.39110434161741,0,-1.31018765355662,-0.373426689280017,-0.0856175803702488,-0.851143383906355,0
"56","2013","Q3",-1.46420500196375,0,-1.16642836457032,-0.557931860116345,-0.172832467897758,-0.435664036556219,0
"57","2013","Q4",-1.41818029120768,0,-1.39731651889034,-0.632751554500883,-0.283503097941383,-0.48106186644807,0
"58","2014","Q1",-1.29593171955862,0,-1.30979434121721,-0.159708528678504,-0.476023697281933,-0.674062115256773,0
"59","2014","Q2",-1.15914237627171,0,-0.763030280408988,-0.297601317203332,0.0603171788506138,-0.52574614205627,0
"60","2014","Q3",-0.913525909892942,0,-0.183962499055238,0.186314594323728,-0.0267117060615665,-0.343565387317399,0
"61","2014","Q4",-0.70253927983138,0,-0.553369998644087,-0.534778426157366,0.17341646452018,-0.192008037006901,0
"62","2015","Q1",-0.35951461540962,0,0.0623043164698324,-0.00841840978019059,0.0507255094848597,0.0199972167651633,0
"63","2015","Q2",-0.0999376688443138,0,0.275277505852236,-0.0698114949513974,0.355090351893877,-0.0100013510902445,0
"64","2015","Q3",-0.0480585669547469,0,0.0235539085030298,-0.146238014603807,0.149251555708462,0.0205403673983752,0
"65","2015","Q4",0.0626606434557069,0,-0.110493157002272,0.0867508036366533,-0.140938832920945,-0.0563051277179799,0
"66","2016","Q1",0.125140309791208,0,0.312222981811835,-0.0233563211943215,0.368222591533893,-0.0326432885277366,0
"67","2016","Q2",-0.0641628571010664,0,-0.48193516171686,-0.314615752307845,-0.0956695847964099,-0.0716498246126056,0
"68","2016","Q3",-0.0942093530489972,0,-0.0966320752886933,0.00793815866533656,0.0315115385887232,-0.136081772542753,0
"69","2016","Q4",-0.117132982068591,0,-0.202187673080646,-0.0973486272187845,-0.00245820951058488,-0.102380836351277,0
"70","2017","Q1",-0.248337361720033,0,-0.212594536793935,-0.212536879382571,-0.064793664653821,0.064736007242457,0
"71","2017","Q2",-0.108769885914073,0,0.0763347415069797,0.0349631784914688,-0.0490524947063657,0.0904240577218766,0
