name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Consumption Deflator Growth,current,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,0.0102,0.0083,0.0082,0.0073,0.0065,0.006,0.0057,0.0056,0.0056,0.0055
Consumption Deflator Growth,difference,-0,0,-0,0,0,0,-0,0.0014,0,-0,0,-0,0,0,-0,-0,0
Consumption Deflator Growth,previous,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,0.0088,0.0083,0.0082,0.0073,0.0065,0.006,0.0057,0.0056,0.0056,0.0055
Cpiu,current,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,301.3307,305.535,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Cpiu,difference,-0,0,-0,-0,-0,-0,0,-1.1173,0,0,0,0,0,0,0,0,0
Cpiu,previous,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,302.448,305.535,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Federal Aid to Small Businesses Arp Contribution,current,0.0421,0.1852,0.0477,-0.0341,0.0254,0.0247,-0.0365,-0.0354,-7e-4,-7e-4,-0.0075,-0.0074,-0.018,-0.0687,-0.0298,-0.0288,-0.0267
Federal Aid to Small Businesses Arp Contribution,difference,-0,0,0,-0,-0,0,0,-0,-0,-0,0,0,1e-4,5e-4,2e-4,2e-4,2e-4
Federal Aid to Small Businesses Arp Contribution,previous,0.0421,0.1852,0.0477,-0.0341,0.0254,0.0247,-0.0365,-0.0354,-6e-4,-7e-4,-0.0075,-0.0074,-0.0181,-0.0692,-0.03,-0.029,-0.0268
Federal Contribution,current,0.0284,-0.6712,0.1908,-0.1082,0.4458,-0.1766,-0.4422,0.2406,0.7965,-0.0543,-0.0468,-0.2968,-0.4273,-0.0633,-0.0522,-0.3905,-34.1547
Federal Contribution,difference,0,-0,0,0,-0,0,-0,0.7084,0.8467,-0.0018,-0.0024,-7e-4,7e-4,-0.0015,-0.0018,0,-1.304
Federal Contribution,previous,0.0284,-0.6712,0.1908,-0.1082,0.4458,-0.1766,-0.4422,-0.4678,-0.0502,-0.0525,-0.0444,-0.296,-0.428,-0.0618,-0.0504,-0.3905,-32.8507
Federal Corporate Taxes Contribution,current,-0.0171,-0.0119,-0.02,-0.0402,-0.0512,-0.0516,-0.0296,-0.0544,-0.0591,-0.0423,-0.0371,-0.0255,-0.0107,-0.013,-0.0021,-0.0061,0.1866
Federal Corporate Taxes Contribution,difference,-0,0,-0,-0,0,-0,0,2e-4,6e-4,5e-4,5e-4,4e-4,3e-4,3e-4,2e-4,3e-4,-0.001
Federal Corporate Taxes Contribution,previous,-0.0171,-0.0119,-0.02,-0.0402,-0.0512,-0.0516,-0.0296,-0.0546,-0.0598,-0.0429,-0.0376,-0.0259,-0.011,-0.0134,-0.0024,-0.0063,0.1876
Federal Health Outlays Contribution,current,0.0496,0.1592,0.0549,0.071,-0.0742,-0.084,-0.0617,-0.0208,0.0183,0.0037,-0.0019,-0.0845,-0.0121,0.0054,-0.0335,-0.0665,-5.4026
Federal Health Outlays Contribution,difference,0,0,-0,-0,-0,0,0,0.0576,0.0167,0.0457,0.0395,-0.0217,0.0119,-0.0212,-0.0643,-0.1075,7e-4
Federal Health Outlays Contribution,previous,0.0496,0.1592,0.0549,0.071,-0.0742,-0.084,-0.0617,-0.0784,0.0017,-0.0419,-0.0414,-0.0628,-0.024,0.0267,0.0308,0.041,-5.4033
Federal Non Corporate Taxes Contribution,current,-0.4123,-0.4194,-0.4157,-0.8956,-1.0165,-0.6076,-0.4387,0.1494,0.2862,0.1881,0.2507,0.5235,0.5152,0.5439,0.4964,0.2581,7.6778
Federal Non Corporate Taxes Contribution,difference,-0,0,0,-0,0,0,-0,0.2942,0.2784,0.1256,0.1255,0.1212,0.118,0.1145,0.1141,-0.0213,-0.3111
Federal Non Corporate Taxes Contribution,previous,-0.4123,-0.4194,-0.4157,-0.8956,-1.0165,-0.6076,-0.4387,-0.1448,0.0079,0.0625,0.1251,0.4023,0.3972,0.4294,0.3823,0.2794,7.9889
Federal Other Direct Aid Arp Contribution,current,-0.039,0.0094,0.0858,0.0556,0.0342,-0.0637,-0.0648,-0.0476,-0.1034,-0.0367,-0.0241,-0.0267,-0.0207,-0.0218,-0.0304,-0.0212,-0.0195
Federal Other Direct Aid Arp Contribution,difference,0,0,-0,-0,-0,0,0,-0,7e-4,2e-4,2e-4,2e-4,1e-4,1e-4,2e-4,1e-4,1e-4
Federal Other Direct Aid Arp Contribution,previous,-0.039,0.0094,0.0858,0.0556,0.0342,-0.0637,-0.0648,-0.0475,-0.1041,-0.0369,-0.0243,-0.0268,-0.0209,-0.022,-0.0306,-0.0214,-0.0196
Federal Other Vulnerable Arp Contribution,current,0.1216,0.1363,0.1458,0.1264,0.0854,0.0494,-0.0367,-0.0898,-0.0974,-0.0968,-0.0992,-0.0637,-0.0503,-0.0446,-0.0265,-0.0106,-0.0167
Federal Other Vulnerable Arp Contribution,difference,-0,0,0,0,0,-0,-0,-1e-4,6e-4,6e-4,6e-4,4e-4,3e-4,3e-4,2e-4,1e-4,1e-4
Federal Other Vulnerable Arp Contribution,previous,0.1216,0.1363,0.1458,0.1264,0.0854,0.0494,-0.0367,-0.0897,-0.098,-0.0973,-0.0998,-0.0641,-0.0506,-0.0448,-0.0267,-0.0107,-0.0168
Federal Purchases Deflator Growth,current,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,0.008,0.0058,0.0063,0.0063,0.0073,0.007,0.0068,0.0066,0.006,0.0061
Federal Purchases Deflator Growth,difference,0,0,-0,0,0,-0,0,0.0016,0,0,0,-0,-0,0,-0,0,0
Federal Purchases Deflator Growth,previous,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,0.0064,0.0058,0.0063,0.0063,0.0073,0.007,0.0068,0.0066,0.006,0.0061
Federal Social Benefits Contribution,current,-0.0415,-0.0358,0.2091,-0.9142,-0.2292,-0.8354,-0.401,0.1206,0.3406,0.3823,0.0976,0.0086,-0.0902,-0.0749,-0.0395,-0.0772,-6.8028
Federal Social Benefits Contribution,difference,0,0,-0,0,-0,0,-0,0.1027,0.2148,0.2104,0.2079,0.1043,-0.0094,-0.0088,-0.0086,-0.008,-0.1712
Federal Social Benefits Contribution,previous,-0.0415,-0.0358,0.2091,-0.9142,-0.2292,-0.8354,-0.401,0.0179,0.1258,0.1719,-0.1104,-0.0957,-0.0808,-0.0661,-0.0309,-0.0692,-6.6316
Federal Student Loans Contribution,current,0,0,0,0,0,0,0,0,0,0.0438,0.0309,0.0401,0.0217,0.0214,0.0179,0.0171,-0.0348
Federal Student Loans Contribution,difference,0,0,0,0,0,0,0,0,0,-3e-4,-2e-4,-3e-4,-1e-4,-1e-4,-1e-4,-1e-4,2e-4
Federal Student Loans Contribution,previous,0,0,0,0,0,0,0,0,0,0.0441,0.0311,0.0404,0.0219,0.0216,0.018,0.0172,-0.0351
Federal Subsidies Contribution,current,0.3989,0.2368,0.0301,-0.0599,-0.0843,-0.0839,-0.0467,-0.0405,-0.5276,-0.5773,-0.2265,-0.1786,-0.3225,-0.2408,-0.1047,-0.033,-0.0835
Federal Subsidies Contribution,difference,0,0,-0,0,0,0,0,0.0162,0.0011,0.0029,6e-4,3e-4,0.002,0.0014,5e-4,-7e-4,4e-4
Federal Subsidies Contribution,previous,0.3989,0.2368,0.0301,-0.0599,-0.0843,-0.0839,-0.0467,-0.0567,-0.5287,-0.5802,-0.2271,-0.1789,-0.3244,-0.2422,-0.1052,-0.0323,-0.0839
Federal Ui Contribution,current,0.0757,-0.9734,-1.0358,-0.9602,-1.4191,-0.965,-0.3962,-0.3912,-0.2844,-0.1302,-0.0076,-0.0014,-7e-4,-3e-4,-2e-4,0,0
Federal Ui Contribution,difference,0,0,0,0,0,-0,0,-0.001,9e-4,-1e-4,-9e-4,-6e-4,-3e-4,-2e-4,-1e-4,1e-4,0.0012
Federal Ui Contribution,previous,0.0757,-0.9734,-1.0358,-0.9602,-1.4191,-0.965,-0.3962,-0.3902,-0.2853,-0.1301,-0.0067,-8e-4,-4e-4,-1e-4,-0,-1e-4,-0.0012
Fiscal Impact,current,-2.1034,-2.4715,-3.07,-3.8248,-4.7997,-2.4954,-0.9796,-0.2404,-0.8901,-0.0217,-0.0588,-0.2646,8e-4,0.0354,0.1316,-0.1326,-72.6385
Fiscal Impact,difference,0,-0,0,-0,0,0,-0,1.219,0.6706,0.4358,0.4236,0.2777,0.1547,0.1485,0.103,-0.139,-0.4953
Fiscal Impact,previous,-2.1034,-2.4715,-3.07,-3.8248,-4.7997,-2.4954,-0.9796,-1.4594,-1.5607,-0.4575,-0.4824,-0.5423,-0.1539,-0.1131,0.0286,0.0064,-72.1432
Gdp,current,23046.9,23550.4,24349.1,24740.5,25248.5,25723.9,26138,26465.9,26628.1091,26857.9559,27127.8994,27438.1419,27766.0027,28100.5463,28446.9366,28799.9084,29144.4762
Gdp,difference,0,0,0,0,0,0,0,178.9566,180.0535,181.6076,183.4329,185.5307,187.7477,190.0098,192.352,194.7387,197.0686
Gdp,previous,23046.9,23550.4,24349.1,24740.5,25248.5,25723.9,26138,26286.9434,26448.0556,26676.3483,26944.4664,27252.6112,27578.2551,27910.5366,28254.5846,28605.1697,28947.4076
Grants Contribution,current,0.6723,-0.0279,0.3072,0.3745,0.7907,-0.3015,-0.6942,-0.139,0.8155,-0.1213,-0.071,-0.2617,-0.3737,-0.0142,0.0124,-0.3171,-7.7689
Grants Contribution,difference,-0,0,-0,-0,0,-0,-0,0.3164,0.8469,-0.0024,-0.0026,-4e-4,0.0012,-0.001,-0.0012,7e-4,-1.0514
Grants Contribution,previous,0.6723,-0.0279,0.3072,0.3745,0.7907,-0.3015,-0.6942,-0.4554,-0.0314,-0.1189,-0.0684,-0.2613,-0.3749,-0.0131,0.0135,-0.3178,-6.7176
Real Potential Gdp Growth,current,0.0044,0.0044,0.0045,0.0045,0.0045,0.0045,0.0046,0.0045,0.0043,0.0042,0.0042,0.0041,0.0041,0.0042,0.0043,0.0043,0.0044
Real Potential Gdp Growth,difference,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,0,0,0,0,-0
Real Potential Gdp Growth,previous,0.0044,0.0044,0.0045,0.0045,0.0045,0.0045,0.0046,0.0045,0.0043,0.0042,0.0042,0.0041,0.0041,0.0042,0.0043,0.0043,0.0044
Rebate Checks Arp Contribution,current,-1.0348,-0.0472,-1.1572,-0.0324,-0.0225,-0.0333,-0.0214,-0.021,-0.4283,-0.0125,-0.0124,-0.6128,-1e-4,-1e-4,-0.0062,0,0
