name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Consumption Deflator Growth,current,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,NA,0.0065,0.0074,0.0076,0.007,0.0061,0.0063,0.006,0.0057,0.0055
Consumption Deflator Growth,difference,-0,0,-0,0,0,0,-0,NA,-0.0018,-8e-4,2e-4,4e-4,1e-4,5e-4,5e-4,1e-4,0
Consumption Deflator Growth,previous,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,NA,0.0083,0.0082,0.0073,0.0065,0.006,0.0057,0.0056,0.0056,0.0055
Cpiu,current,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,303.351,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Cpiu,difference,-0,0,-0,-0,-0,-0,0,NA,-2.184,0,0,0,0,0,0,0,0
Cpiu,previous,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,305.535,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Federal Aid to Small Businesses Arp Contribution,current,0.0421,0.1851,0.0475,-0.0343,0.0253,0.0246,-0.0365,NA,-7e-4,-7e-4,-0.0076,-0.0075,-0.0183,-0.0696,-0.0302,-0.0292,-0.027
Federal Aid to Small Businesses Arp Contribution,difference,-0,-0,-1e-4,-2e-4,-1e-4,-1e-4,-1e-4,NA,-1e-4,-1e-4,-2e-4,-2e-4,-3e-4,-0.0011,-5e-4,-4e-4,-4e-4
Federal Aid to Small Businesses Arp Contribution,previous,0.0421,0.1852,0.0477,-0.0341,0.0254,0.0247,-0.0365,NA,-7e-4,-7e-4,-0.0075,-0.0073,-0.0179,-0.0685,-0.0297,-0.0287,-0.0266
Federal Contribution,current,0.0128,-0.6927,0.1686,-0.1256,0.4365,-0.1787,-0.4349,NA,-1.5718,1.1595,-0.1982,-0.4026,-0.5033,-0.1457,-0.1453,-0.4687,-32.7231
Federal Contribution,difference,-0.0156,-0.0215,-0.0222,-0.0173,-0.0093,-0.0021,0.0073,NA,-1.1937,1.2749,-0.0186,-0.0091,-0.0045,-0.0096,-0.0076,-0.0192,-0.5292
Federal Contribution,previous,0.0284,-0.6712,0.1908,-0.1082,0.4458,-0.1766,-0.4422,NA,-0.3781,-0.1154,-0.1796,-0.3935,-0.4988,-0.1362,-0.1377,-0.4495,-32.1939
Federal Corporate Taxes Contribution,current,-0.0173,-0.012,-0.0199,-0.04,-0.0509,-0.0513,-0.0293,NA,-0.0595,-0.0429,-0.0381,-0.0263,-0.0114,-0.0137,-0.0027,-0.0067,0.1888
Federal Corporate Taxes Contribution,difference,-2e-4,-1e-4,1e-4,2e-4,3e-4,3e-4,3e-4,NA,-0,-1e-4,-6e-4,-4e-4,-2e-4,-2e-4,-1e-4,-2e-4,0.0027
Federal Corporate Taxes Contribution,previous,-0.0171,-0.0119,-0.02,-0.0402,-0.0512,-0.0516,-0.0296,NA,-0.0595,-0.0427,-0.0375,-0.0259,-0.0112,-0.0135,-0.0026,-0.0065,0.1862
Federal Health Outlays Contribution,current,0.0481,0.1533,0.0452,0.0595,-0.0847,-0.0916,-0.0648,NA,0.0632,0.0265,-0.0048,-0.0964,-0.0939,-0.0653,0.0053,0.0713,-5.4299
Federal Health Outlays Contribution,difference,-0.0014,-0.0058,-0.0097,-0.0114,-0.0106,-0.0077,-0.0032,NA,-0.0525,-0.0453,0.0044,-0.0079,0.0371,0.0211,-0.0293,-0.0203,-0.0619
Federal Health Outlays Contribution,previous,0.0496,0.1592,0.0549,0.071,-0.0742,-0.084,-0.0617,NA,0.1157,0.0718,-0.0092,-0.0885,-0.131,-0.0864,0.0347,0.0916,-5.3679
Federal Non Corporate Taxes Contribution,current,-0.4116,-0.4139,-0.4064,-0.8843,-1.0047,-0.5968,-0.3681,NA,0.3161,0.1792,0.2501,0.5368,0.534,0.5649,0.4718,0.2536,7.7321
Federal Non Corporate Taxes Contribution,difference,7e-4,0.0055,0.0093,0.0113,0.0118,0.0108,0.008,NA,-0.0356,-0.0419,-0.0182,-0.0094,-0.0099,-0.0066,-0.0043,-0.0072,0.1455
Federal Non Corporate Taxes Contribution,previous,-0.4123,-0.4194,-0.4157,-0.8956,-1.0165,-0.6076,-0.3761,NA,0.3517,0.2211,0.2683,0.5462,0.5439,0.5715,0.4761,0.2608,7.5866
Federal Other Direct Aid Arp Contribution,current,-0.039,0.0094,0.0857,0.0555,0.0341,-0.0637,-0.0649,NA,-0.1032,-0.0366,-0.0245,-0.027,-0.021,-0.0221,-0.0308,-0.0215,-0.0197
Federal Other Direct Aid Arp Contribution,difference,0,-0,-0,-1e-4,-1e-4,-1e-4,-0,NA,-0,-0,-4e-4,-4e-4,-3e-4,-3e-4,-5e-4,-3e-4,-3e-4
Federal Other Direct Aid Arp Contribution,previous,-0.039,0.0094,0.0858,0.0556,0.0342,-0.0637,-0.0648,NA,-0.1031,-0.0366,-0.0241,-0.0266,-0.0207,-0.0218,-0.0303,-0.0212,-0.0194
Federal Other Vulnerable Arp Contribution,current,0.1216,0.1362,0.1456,0.1261,0.0852,0.0492,-0.0368,NA,-0.0972,-0.0965,-0.1003,-0.0645,-0.0508,-0.0451,-0.0269,-0.0107,-0.0169
Federal Other Vulnerable Arp Contribution,difference,-0,-1e-4,-2e-4,-2e-4,-2e-4,-2e-4,-1e-4,NA,0,1e-4,-0.0014,-9e-4,-7e-4,-6e-4,-4e-4,-2e-4,-3e-4
Federal Other Vulnerable Arp Contribution,previous,0.1216,0.1363,0.1458,0.1264,0.0854,0.0494,-0.0367,NA,-0.0972,-0.0965,-0.0989,-0.0636,-0.0501,-0.0444,-0.0265,-0.0106,-0.0166
Federal Purchases Deflator Growth,current,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,NA,0.0065,0.0083,0.0072,0.0072,0.0067,0.0069,0.0066,0.0063,0.0061
Federal Purchases Deflator Growth,difference,0,0,-0,0,0,-0,0,NA,7e-4,0.0021,8e-4,-1e-4,-3e-4,1e-4,0,3e-4,0
Federal Purchases Deflator Growth,previous,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,NA,0.0058,0.0063,0.0063,0.0073,0.007,0.0068,0.0066,0.006,0.0061
Federal Social Benefits Contribution,current,-0.0437,-0.0434,0.1964,-0.9292,-0.2428,-0.8453,-0.4051,NA,0.1242,0.204,-0.0803,-0.1689,-0.0532,-0.0754,-0.0414,-0.0784,-6.7015
